单层板结构国外方程优化顺序为：,,,,,,,,,,,
"(a1,a2)","(a3,a4)","(a1,a3)","(a2,a4)","(a2,a3)","(a1,a2)",,,,,,
不同优化体系下的优化结果：,,,,,,,,,,,
体系,a1,a2,a3,a4,p_F,p_NF,f_f^2,f_NF^2,ptotal,psafe,f2
初始,0.25,0.5,5.24,0.666666667,0.8205,0.4,0.0605,0.1021,0.6563,0.8906,0.1625
1,0.23373,0.4725,5.5544,0.814733333,1,0.56,0,0.0458,0.8281,1,0.0458
2,0.231868,0.4725,5.504096,0.814733333,1,0.56,0,0.0456,0.8281,1,0.0456
3,0.23373,0.4725,5.5544,0.814733333,1,0.56,0,0.0458,0.8281,1,0.0458
4,0.23061675,0.476685,4.869008,0.806666667,0.7692,1,0.0368,0,0.8594,0.8594,0.0368
5,0.23373,0.4725,5.5544,0.814733333,1,0.56,0,0.0458,0.8281,1,0.0458
6,0.238165,0.438165,5.1470424,0.8239,0.7949,1,0.0242,0,0.875,0.875,0.0242
自定义,0.25,0.5,5.24,0.666666667,0.8205,0.4,0.0605,0.1021,0.6563,0.8906,0.1625
