填充式结构国内方程优化顺序为：,,,,,,,,,,,,,,,,,,
"(a1,a6)","(a2,a7)","(a3,a8)","(a4,a9)","(a5,a10)","(a1,a6)",,,,,,,,,,,,,
不同优化体系下的优化结果：,,,,,,,,,,,,,,,,,,
体系,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,p_F,p_NF,f_F^2,f_NF^2,ptotal,psafe,f2
初始,0.747,0.223,0.248,-0.223,1.02,0.186,0.387,1.346,0.524,0.27,-0.25,0.5455,0.9,0.1638,0.0063,0.7143,0.7619,0.17
1,0.5976,0.26091,0.22072,-0.223,1.02,0.2232,0.39474,1.6152,0.6288,0.27,-0.25,1,0.35,0,0.2798,0.6905,1,0.2798
2,0.5976,0.26091,0.22072,-0.223,1.02,0.2232,0.39474,1.6152,0.6288,0.27,-0.25,1,0.35,0,0.2798,0.6905,1,0.2798
3,0.531864,0.2007,0.21576,-0.223,1.02,0.21204,0.387,1.6152,0.6288,0.27,-0.25,1,0.15,0,0.1901,0.5952,1,0.1901
4,0.6847749,0.1784,0.2976,-0.223,1.02,0.1685904,0.387,1.33254,0.4192,0.27,-0.25,0.4091,1,0.1811,0,0.6905,0.6905,0.1811
5,0.5976,0.2007,0.21576,-0.223,1.02,0.2232,0.387,1.6152,0.6288,0.27,-0.25,1,0.3,0,0.2205,0.6667,1,0.2205
6,0.6676686,0.22077,0.25048,-0.223,1.02,0.1858326,0.387,1.57482,0.53448,0.324,-0.25,0.6364,0.85,0.072,0.0081,0.7381,0.8095,0.0801
自定义,0.747,0.223,0.248,-0.223,1.02,0.186,0.387,1.346,0.524,0.27,-0.25,0.5455,0.9,0.1638,0.0063,0.7143,0.7619,0.17
