双层板结构国外方程优化顺序为：,,,,,,,,,,,,,,,,,
"(a1,a6)","(a2,a7)","(a3,a8)","(a4,a9)","(a5,a10)","(a1,a6)",,,,,,,,,,,,
不同优化体系下的优化结果：,,,,,,,,,,,,,,,,,
体系,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,p_F,p_NF,f_F^2,f_NF^2,ptotal,psafe,f2
初始,0.5,0.6,0.5,0.666666667,1.666666667,3.919,0.333333333,0.333333333,0.111111111,0.666666667,1,0,0,9.3687,0.6727,1,9.3687
1,0.5335,0.54,0.48,0.666666667,1.5,4.74199,0.3,0.353333333,0.108888889,0.733333333,1,0.0556,0,6.8501,0.6909,1,6.8501
2,0.5335,0.54,0.48,0.666666667,1.5,4.74199,0.3,0.353333333,0.108888889,0.733333333,1,0.0556,0,6.8501,0.6909,1,6.8501
3,0.5335,0.54,0.48,0.666666667,1.5,4.74199,0.3,0.353333333,0.108888889,0.733333333,1,0.0556,0,6.8501,0.6909,1,6.8501
4,0.5335,0.54,0.48,0.666666667,1.5,4.74199,0.3,0.353333333,0.108888889,0.733333333,1,0.0556,0,6.8501,0.6909,1,6.8501
5,0.5335,0.54,0.48,0.666666667,1.5,4.74199,0.3,0.353333333,0.108888889,0.733333333,1,0.0556,0,6.8501,0.6909,1,6.8501
6,0.5335,0.54,0.48,0.666666667,1.5,4.74199,0.3,0.353333333,0.108888889,0.733333333,1,0.0556,0,6.8501,0.6909,1,6.8501
自定义,0.5,0.6,0.5,0.666666667,1.666666667,3.919,0.333333333,0.333333333,0.111111111,0.666666667,1,0,0,9.3687,0.6727,1,9.3687
